	Phylum
OTU1	Acidobacteria
OTU2	Actinobacteria
OTU3	Aquificae
OTU4	Armatimonadetes
OTU5	Bacteroidetes
OTU6	Balneolaeota
OTU7	Caldiserica
OTU8	Calditrichaeota
OTU9	Candidatus Melainabacteria
OTU10	Chlamydiae
OTU11	Chlorobi
OTU12	Chloroflexi
OTU13	Chrysiogenetes
OTU14	Coprothermobacterota
OTU15	Crenarchaeota
OTU16	Cyanobacteria
OTU17	Deferribacteres
OTU18	Deinococcus-Thermus
OTU19	Elusimicrobia
OTU20	Fibrobacteres
OTU21	Firmicutes
OTU22	Fusobacteria
OTU23	Gemmatimonadetes
OTU24	Ignavibacteriae
OTU25	Kiritimatiellaeota
OTU26	Lentisphaerae
OTU27	Nitrospirae
OTU28	Planctomycetes
OTU29	Proteobacteria
OTU30	Rhodothermaeota
OTU31	Spirochaetes
OTU32	Synergistetes
OTU33	Tenericutes
OTU34	Thermodesulfobacteria
OTU35	Thermotogae
OTU36	Verrucomicrobia
